PERSON,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13
1160182,0,0,0,1,0,0,1,0,1,1,0,0,0
1160183,1,0,1,1,0,0,0,1,0,1,0,0,1
1160184,0,0,0,0,0,0,1,0,0,0,1,0,0
1160185,1,1,1,0,0,0,0,0,1,0,0,0,0
1160186,1,1,0,0,1,0,1,0,1,1,1,0,1
1160187,0,1,1,0,0,1,1,0,1,1,0,0,1
1160188,0,0,1,1,1,0,1,1,1,0,1,1,0
1160189,1,1,1,1,1,0,1,0,1,1,1,0,0
1160190,1,0,1,0,0,1,1,0,1,0,1,0,1
1160191,0,0,0,0,0,0,0,0,1,0,1,0,0
1160192,1,0,0,1,0,0,0,0,0,1,1,0,1
1160193,1,0,1,0,0,0,0,1,1,0,0,0,1
1160194,0,1,0,1,1,0,1,0,1,1,1,0,0
1160195,0,1,0,0,0,0,1,0,1,0,1,0,1
1160196,0,0,0,1,0,0,0,0,1,0,0,0,1
1160197,1,1,1,1,1,1,1,0,1,1,1,1,1
1160198,0,0,0,0,1,0,1,0,0,0,0,0,1
1160199,0,0,1,0,0,1,1,1,1,1,0,1,0
1160200,0,1,0,1,0,1,1,0,1,1,1,0,1
1160201,1,0,1,1,1,0,0,0,1,1,0,0,1
1160202,1,1,1,0,1,0,0,0,1,0,1,0,0
1160203,1,1,1,1,0,0,1,0,0,0,0,0,0
1160204,1,0,0,0,0,0,0,0,0,0,1,0,0
1160205,1,0,1,0,0,0,0,0,1,0,0,0,0
1160206,1,1,0,1,1,0,0,0,1,0,0,0,1
1160207,1,1,1,1,1,0,0,1,0,1,0,0,0
1160208,1,0,1,1,1,0,1,0,1,1,1,0,1
1160209,1,0,1,0,1,0,0,0,0,0,0,1,0
1160210,0,0,0,0,0,0,0,0,1,0,0,0,1
1160211,0,0,0,1,0,0,0,0,0,1,1,0,0
1160212,1,1,0,0,1,0,0,0,0,1,0,0,1
1160213,0,1,1,1,0,0,0,1,1,1,1,0,1
1160214,1,0,0,0,1,0,1,1,1,0,0,0,0
1160215,0,1,1,0,0,0,0,0,0,1,0,0,1
1160216,0,0,0,0,1,0,0,0,0,1,0,0,0
1160217,1,1,1,1,0,0,0,0,1,1,0,0,0
1160218,1,0,1,0,0,0,0,1,1,1,0,0,1
1160219,1,0,1,1,0,1,1,1,1,1,1,1,1
1160220,1,1,1,1,1,0,1,1,1,1,0,0,1
1160221,1,0,1,1,0,0,0,0,0,1,1,0,1
1160222,1,1,1,1,1,0,1,0,1,1,1,0,1
1160223,1,1,1,1,1,0,0,1,1,1,1,0,1
1160224,1,1,1,1,1,1,0,0,0,1,1,0,1
1160225,1,0,1,1,1,1,0,0,1,1,1,0,0
1160226,1,1,0,0,0,0,0,0,1,1,0,0,0
1160227,1,1,1,0,1,0,1,0,1,0,1,0,0
1160228,1,0,0,1,1,0,1,1,1,1,1,1,0
